event_id,investigation_type,event_date,location,country,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,state_code,US_State,Abbreviation
20130605X93054,Accident,2013-06-04,"Brookfield, WI",United States,Non-Fatal,Substantial,Airplane,SHELDRICK JOHN H,RV-6,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Unknown,WI,Wisconsin,WI
20130606X23054,Accident,2013-06-07,"Sheridan, WY",United States,Non-Fatal,Substantial,Airplane,Garland,Avipro Bearhawk,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Unknown,WY,Wyoming,WY
20130611X25055,Accident,2013-06-08,"Vinton, IA",United States,Non-Fatal,Substantial,Airplane,STIEGELMEYER JOHN R,VANS RV-7A,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Unknown,IA,Iowa,IA
20130611X50611,Accident,2013-06-11,"Festus, MO",United States,Non-Fatal,Substantial,Airplane,YOUNGS WILLIAM D,T211,Yes,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Unknown,MO,Missouri,MO
20130611X55359,Accident,2013-06-11,"Chadron, NE",United States,Non-Fatal,Substantial,Airplane,VANS,RV12,Yes,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Unknown,NE,Nebraska,NE
20130613X05415,Accident,2013-06-11,"St Francis, KS",United States,Non-Fatal,Substantial,Airplane,ROGERS,T-51 MUSTANG KIT,Yes,1.0,Reciprocating,Flight Test,0.0,0.0,0.0,1.0,VMC,Unknown,KS,Kansas,KS
20130612X21042,Accident,2013-06-12,"Montague, CA",United States,Fatal,Destroyed,Airplane,GRAVES,SH-2F,Yes,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Unknown,CA,California,CA
20130618X55436,Accident,2013-06-15,"Altoona, PA",United States,Non-Fatal,Substantial,Airplane,HAGERTY,RV-7A,Yes,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Unknown,PA,Pennsylvania,PA
20130617X83150,Accident,2013-06-17,"South Lake Tahoe, CA",United States,Non-Fatal,Substantial,Airplane,GARY W BETTIS,HARMON ROCKET II,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Unknown,CA,California,CA
20130621X93744,Accident,2013-06-20,"Hibbing, MN",United States,Non-Fatal,Substantial,Airplane,THOMSEN,AVID FLYER MK IV,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Unknown,MN,Minnesota,MN
20130627X55924,Accident,2013-06-25,"Grand Rapids, MN",United States,Non-Fatal,Substantial,Airplane,AVERY JACK H,GLASTAR GS-1,Yes,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Unknown,MN,Minnesota,MN
20130628X01127,Accident,2013-06-28,"Marion, TX",United States,Fatal,Destroyed,Airplane,DANKELMAN PETER G,RV-7A,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Unknown,TX,Texas,TX
20130628X02820,Accident,2013-06-28,"Jackson, WY",United States,Non-Fatal,Substantial,Airplane,Charles Peet,Zenith CH 701,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Unknown,WY,Wyoming,WY
20130629X15042,Accident,2013-06-29,"Oxnard, CA",United States,Fatal,Substantial,Airplane,AYERS,LESS DRAG SPECIAL,Yes,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Unknown,CA,California,CA
20130702X22743,Accident,2013-06-30,"Grand Haven, MI",United States,Non-Fatal,Substantial,Airplane,VINK ROBERT D,YOUNGSTER,Yes,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Unknown,MI,Michigan,MI
20130702X80453,Accident,2013-07-02,"Garden Valley, ID",United States,Non-Fatal,Substantial,Airplane,DORMAN,BAKENG,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Unknown,ID,Idaho,ID
20130703X10508,Accident,2013-07-03,"Hurricane, UT",United States,Non-Fatal,Substantial,Airplane,BOSON,RV-4,Yes,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Unknown,UT,Utah,UT
20130709X12438,Accident,2013-07-06,"Chesaning, MI",United States,Fatal,Destroyed,Airplane,JDT,1600R,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Unknown,MI,Michigan,MI
20130723X41723,Accident,2013-07-13,"Schertz, TX",United States,Non-Fatal,Destroyed,Airplane,ALVAREZ MARVIN R,RANS S-6S,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,Unknown,TX,Texas,TX
20130808X65644,Accident,2013-07-13,"White City, OR",United States,Non-Fatal,Substantial,Airplane,QUARNOCCIO,AVID FLYER,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Unknown,OR,Oregon,OR
20130715X75803,Accident,2013-07-14,"San Simon, AZ",United States,Non-Fatal,Substantial,Airplane,KINCAID WADE,DAKOTA HAWK,Yes,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Unknown,AZ,Arizona,AZ
20130716X00902,Accident,2013-07-16,"Pulaski, TN",United States,Fatal,Destroyed,Airplane,THOMPSON BRUCE D,SONERAI II,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Unknown,TN,Tennessee,TN
20130718X94856,Accident,2013-07-16,"Duluth, MN",United States,Non-Fatal,Substantial,Airplane,Marino,Benoist Type XIV,Yes,1.0,Reciprocating,Flight Test,0.0,0.0,0.0,1.0,VMC,Unknown,MN,Minnesota,MN
20130718X81101,Accident,2013-07-17,"Collierville, TN",United States,Non-Fatal,Destroyed,Airplane,JOHNSON GARRET W,MERLIN GT,Yes,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Unknown,TN,Tennessee,TN
20130722X63758,Accident,2013-07-17,"Fowler, NY",United States,Non-Fatal,Substantial,Airplane,KRIPS JACK E JR,KOLB MK III,Yes,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Unknown,NY,New York,NY
20130801X52009,Accident,2013-07-18,"Limestone, TN",United States,Non-Fatal,Substantial,Airplane,JIM BRADDOCK,JUST AIRCRAFT HIGHLA,Yes,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,Unknown,TN,Tennessee,TN
20130723X50643,Accident,2013-07-21,"Logan, WV",United States,Non-Fatal,Substantial,Airplane,MILLHOUSE D SCOTT,KITFOX II,Yes,1.0,Reciprocating,Instructional,0.0,2.0,0.0,0.0,VMC,Unknown,WV,West Virginia,WV
20130723X91113,Accident,2013-07-21,"Mill Creek, IN",United States,Fatal,Destroyed,Airplane,"COOPER, DAVID W.",CHALLENGER II,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Unknown,IN,Indiana,IN
20130722X75513,Accident,2013-07-22,"Independence, OR",United States,Non-Fatal,Substantial,Airplane,WESTER/STEIGER,GLASTAR,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Unknown,OR,Oregon,OR
